post_title,post_slug,post_status,post_type,post_category,post_content,post_address,city,region,zip,country,post_latitude,post_longitude,geodir_contact_phone,geodir_email,geodir_website,geodir_practice_name,street,geodir_license_type,geodir_license_number,geodir_license_state,geodir_license_verified,geodir_specializations,geodir_insurance_accepted,geodir_sliding_scale,geodir_price_range_min,geodir_price_range_max,geodir_session_length,geodir_telehealth,geodir_telehealth_platform,geodir_accepting_new_patients,geodir_wait_time,geodir_languages,geodir_therapy_approaches,geodir_age_groups_served,geodir_gender,geodir_years_experience,geodir_education,geodir_profile_image_url,geodir_google_rating,geodir_google_review_count,geodir_last_verified_date,geodir_data_source,geodir_enrichment_status
"Dr. Lorraine A. Sommerfeldt, MD",dr-lorraine-a-sommerfeldt-md-amarillo-tx,publish,gd_place,Therapist,"Dr. Lorraine A. Sommerfeldt, MD (MD/Psychiatrist) in Amarillo, TX.","1501 S Polk St, Amarillo, Tx 79101",Amarillo,TX,79101,US,35.1981006,-101.8386134,(806) 337-1000,,,,1501 S Polk St,MD/Psychiatrist,,TX,,,,,,,,,,,,,,,,,,,5.0,1,2026-02-18,outscraper,cleaned
Northern Virginia Mental Health: Racha Jyothi MD,northern-virginia-mental-health-racha-jyothi-md-falls-church-va,publish,gd_place,Therapist,"Northern Virginia Mental Health: Racha Jyothi MD (MD/Psychiatrist) in Falls Church, VA. Specializes in Addiction, Chronic Illness, Family, PTSD/Trauma. Accepts Out-of-Network.","3302 Gallows Rd, Falls Church, VA 22042",Falls Church,VA,22042,US,38.8581125,-77.2319776,(703) 207-7100,,https://dbhds.virginia.gov/facilities/nvmhi/medical-staff,,3302 Gallows Rd,MD/Psychiatrist,,VA,,"Addiction, Chronic Illness, Family, PTSD/Trauma",Out-of-Network,Unknown,,,,Unknown,,Unknown,,,"ACT, Humanistic, Somatic",,,,"and community engagement](https://dbhds.virginia.gov/facilities/nvmhi/community/); al leadership. clinically, he believes in a balanced and integrated approach to the diagnosis and treatment of serious mental illness that is humanistic, scientific, ultimately based in caring and ser; at the university of belgrade school of medicine in serbia. upon graduation, dr. kovacevic worked as a primary care provider at a psychiatric hospital in belgrade. this assignment led her to pursue he",,1.0,2,2026-02-18,outscraper,enriched_full
Centra Acute Child & Adolescent Psychiatric Unit,centra-acute-child-adolescent-psychiatric-unit-lynchburg-va,publish,gd_place,Therapist,"Centra Acute Child & Adolescent Psychiatric Unit (MD/Psychiatrist) in Lynchburg, VA. Specializes in Addiction, Anger Management, Child/Adolescent, Family, Sleep Issues.","3300 Rivermont Ave Krise 6, Lynchburg, VA 24503",Lynchburg,VA,24503,US,37.4381175,-79.1871026,(434) 200-4444,,https://www.centrahealth.com/services/psychiatric-inpatient-child-and-adolescent-services,,3300 Rivermont Ave Krise 6,MD/Psychiatrist,,VA,,"Addiction, Anger Management, Child/Adolescent, Family, Sleep Issues",,Unknown,,,,Unknown,,Unknown,,,"CBT, DBT",,,,](https://www.centrahealth.com/educational-opportunities); al group therapies; ms for children and adolescents who are in crisis,,3.0,2,2026-02-18,outscraper,enriched_basic
"Bruce R. Stevens, MD",bruce-r-stevens-md-richmond-va,publish,gd_place,Therapist,"Bruce R. Stevens, MD (MD/Psychiatrist) in Richmond, VA. Specializes in Addiction, Anxiety, Child/Adolescent, Depression, Family.","1806 Summit Ave Suite 300, Richmond, VA 23230",Richmond,VA,23230,US,37.570332,-77.4679306,(804) 362-2227,,http://provider.kareo.com/bruce-r--stevens-md,,1806 Summit Ave Suite 300,MD/Psychiatrist,,VA,,"Addiction, Anxiety, Child/Adolescent, Depression, Family, OCD, PTSD/Trauma, Personality Disorders",,Unknown,,,,Unknown,,Unknown,,,Motivational Interviewing,,,,"from the medical college of wisconsin (mcw, formerly marquette university) in 1992. mcw is, also, where he completed his preliminary medicine internship and psychiatry residency. dr. bruce stevens has; years practicing; * medical college of wisconsin, 1996",,4.5,35,2026-02-18,outscraper,enriched_basic
"Dr. Harold W. Koenigsberg, MD",dr-harold-w-koenigsberg-md-bronx-ny,publish,gd_place,Therapist,"Dr. Harold W. Koenigsberg, MD (MD/Psychiatrist) in Bronx, NY.","130 W Kingsbridge Rd, Bronx, Ny 10468",Bronx,NY,10468,US,40.868521,-73.90527209999999,(718) 584-9000,,http://www.bronx.va.gov,,130 W Kingsbridge Rd,MD/Psychiatrist,,NY,,,,Unknown,,,,Unknown,,Unknown,,,ACT,,,,ms are deeply experienced and guided by the needs of Veterans,,,0,2026-02-18,outscraper,enriched_basic
Brannigan Robin C MD,brannigan-robin-c-md-fairfax-va,publish,gd_place,Therapist,"Brannigan Robin C MD (MD/Psychiatrist) in Fairfax, VA. Specializes in Addiction, Anxiety, Child/Adolescent, Couples/Marriage, Depression.","10400 Eaton Pl #200, Fairfax, VA 22030",Fairfax,VA,22030,US,38.848819,-77.316423,(703) 591-5912,,http://growthandrecovery.com/robin-brannigan,,10400 Eaton Pl #200,MD/Psychiatrist,,VA,,"Addiction, Anxiety, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, PTSD/Trauma",,Unknown,,,,Unknown,,Unknown,,,"CBT, DBT",,,,,,5.0,2,2026-02-18,outscraper,enriched_basic
Tucker Psychiatric Clinic,tucker-psychiatric-clinic-richmond-va,publish,gd_place,Therapist,"Tucker Psychiatric Clinic (MD/Psychiatrist) in Richmond, VA. Specializes in ADHD, Anxiety, Bipolar Disorder, Child/Adolescent, Couples/Marriage. Telehealth available. Currently accepting new patients.","1000 Boulders Pkwy # 202, Richmond, VA 23225",Richmond,VA,23225,US,37.5107128,-77.5303728,(804) 320-7881,,http://www.tuckerpsychiatric.com,,1000 Boulders Pkwy # 202,MD/Psychiatrist,,VA,,"ADHD, Anxiety, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, OCD",,Unknown,,,,Yes - Video,"doxy.me, Zoom",Yes,,,,,,,"FDA approval in 2009. It is designed to help patients who have failed to achieve satisfactory improvement from at least one full course of medication; ms.
## Our office will be opening at 10am on Tuesday January 27th; ms. No two people are alike",,2.8,91,2026-02-18,outscraper,enriched_basic
"Dr. Rosalind C. Henderson, MD",dr-rosalind-c-henderson-md-bronx-ny,publish,gd_place,Therapist,"Dr. Rosalind C. Henderson, MD (MD/Psychiatrist) in Bronx, NY.","130 W Kingsbridge Rd, Bronx, Ny 10468",Bronx,NY,10468,US,40.868521,-73.90527209999999,(718) 584-9000,,http://www.bronx.va.gov,,130 W Kingsbridge Rd,MD/Psychiatrist,,NY,,,,Unknown,,,,Unknown,,Unknown,,,ACT,,,,ms are deeply experienced and guided by the needs of Veterans,,,0,2026-02-18,outscraper,enriched_basic
Willow Psychiatry Ltd,willow-psychiatry-ltd-ashburn-va,publish,gd_place,Therapist,"Willow Psychiatry Ltd (MD/Psychiatrist) in Ashburn, VA.","Ashburn, VA 20147",Ashburn,VA,20147,US,39.0365041,-77.5062347,,,,,,MD/Psychiatrist,,VA,,,,,,,,,,,,,,,,,,,5.0,1,2026-02-18,outscraper,cleaned
Delaney Beverly R MD,delaney-beverly-r-md-east-orange-nj,publish,gd_place,Therapist,"Delaney Beverly R MD (MD/Psychiatrist) in East Orange, NJ.","385 Tremont Ave # 116A, East Orange, Nj 07018",East Orange,NJ,07018,US,40.752661,-74.23611389999999,(973) 676-1000,,http://www.newjersey.va.gov,,385 Tremont Ave # 116A,MD/Psychiatrist,,NJ,,,,Unknown,,,,Unknown,,Unknown,,,,,,,ms are deeply experienced and guided by the needs of Veterans,,,0,2026-02-18,outscraper,enriched_basic
River Road Psychiatry,river-road-psychiatry-richmond-va,publish,gd_place,Therapist,"River Road Psychiatry (MD/Psychiatrist) in Richmond, VA.","5101 Monument Ave Suite #203, Richmond, VA 23230",Richmond,VA,23230,US,37.5780361,-77.50163549999999,(804) 250-9557,,https://www.riverroadpsych.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D15648906814631538357,,5101 Monument Ave Suite #203,MD/Psychiatrist,,VA,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,4.2,5,2026-02-18,outscraper,enriched_basic
"Dr. Marianne Goodman, MD",dr-marianne-goodman-md-bronx-ny,publish,gd_place,Therapist,"Dr. Marianne Goodman, MD (MD/Psychiatrist) in Bronx, NY.","130 W Kingsbridge Rd, Bronx, Ny 10468",Bronx,NY,10468,US,40.868521,-73.90527209999999,(718) 584-9000,,http://www.bronx.va.gov,,130 W Kingsbridge Rd,MD/Psychiatrist,,NY,,,,Unknown,,,,Unknown,,Unknown,,,ACT,,,,ms are deeply experienced and guided by the needs of Veterans,,,0,2026-02-18,outscraper,enriched_basic
"Dr. William R. Mysels, MD",dr-william-r-mysels-md-east-orange-nj,publish,gd_place,Therapist,"Dr. William R. Mysels, MD (MD/Psychiatrist) in East Orange, NJ.","385 Tremont Ave, East Orange, Nj 07018",East Orange,NJ,07018,US,40.7525482,-74.23613639999999,(973) 676-1000,,http://www.newjersey.va.gov,,385 Tremont Ave,MD/Psychiatrist,,NJ,,,,Unknown,,,,Unknown,,Unknown,,,,,,,ms are deeply experienced and guided by the needs of Veterans,,,0,2026-02-18,outscraper,enriched_basic
Interborough Developmental & Consultation Center,interborough-developmental-consultation-center-brooklyn-ny,publish,gd_place,Therapist,"Interborough Developmental & Consultation Center (MD/Psychiatrist) in Brooklyn, NY. Specializes in Child/Adolescent.","2846 Stillwell Ave 6Th Floor, Brooklyn, Ny 11224",Brooklyn,NY,11224,US,40.577979,-73.98211599999999,(718) 975-4888,,https://www.interborough.org/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,,2846 Stillwell Ave 6th Floor,MD/Psychiatrist,,NY,,Child/Adolescent,,Unknown,,,,Unknown,,Unknown,,,,,,,BS – 718-375-1200 x 335 ](tel:%20718-375-1200),,4.7,16,2026-02-18,outscraper,enriched_basic
Lifesong Health,lifesong-health-forest-va,publish,gd_place,Therapist,"Lifesong Health (MD/Psychiatrist) in Forest, VA. Specializes in ADHD, Bipolar Disorder, Depression, Perinatal/Postpartum, Personality Disorders. Telehealth available. Currently accepting new patients.","14805 Forest Rd Ste 107A, Forest, VA 24551",Forest,VA,24551,US,37.3648804,-79.295728,,,https://lifesonghealth.com,,14805 Forest Rd Ste 107a,MD/Psychiatrist,,VA,,"ADHD, Bipolar Disorder, Depression, Perinatal/Postpartum, Personality Disorders, Sleep Issues",,Unknown,,,,Yes - Video,doxy.me,Yes,,,CBT,,,,"](https://sleepeducation.org/)[obesity action coalition](https://www.obesityaction.org/)[needy meds](https://www.needymeds.org/)[psycheducation.org](https://psycheducation.org/)[bipolar, not so much](; BA Lifesong Health and Hello Hope - All Rights Reserved",,,0,2026-02-18,outscraper,enriched_basic
"Dana Moore, PMHNP",dana-moore-pmhnp-alberta-va,publish,gd_place,Therapist,"Dana Moore, PMHNP (MD/Psychiatrist) in Alberta, VA. Specializes in Addiction, Child/Adolescent, Family. Telehealth available.","8380 Boydton Plank Rd, Alberta, VA 23821",Alberta,VA,23821,US,36.8415857,-77.90641579999999,(434) 949-7211,,https://cvhsinc.org/brunswick,,8380 Boydton Plank Rd,MD/Psychiatrist,,VA,,"Addiction, Child/Adolescent, Family",,Unknown,,,,Yes - Video,,Unknown,,,,,,,,,,0,2026-02-18,outscraper,enriched_basic
Sound Body & Mind Psychiatric Services,sound-body-mind-psychiatric-services-mclean-va,publish,gd_place,Therapist,"Sound Body & Mind Psychiatric Services (MD/Psychiatrist) in McLean, VA. Specializes in Child/Adolescent, Family.","6845 Elm St #507, Mclean, VA 22101",McLean,VA,22101,US,38.9362947,-77.1807678,(571) 282-8254,,http://www.soundbodyandminds.com,,6845 Elm St #507,MD/Psychiatrist,,VA,,"Child/Adolescent, Family",,Unknown,,,,Unknown,,Unknown,,,,,,,prior to the first visit. Call for a free telephone screening!,,,0,2026-02-18,outscraper,enriched_basic
"Roohi Alikhan, M.D.",roohi-alikhan-md-arlington-va,publish,gd_place,Therapist,"Roohi Alikhan, M.D. (MD/Psychiatrist) in Arlington, VA. Specializes in Child/Adolescent, Couples/Marriage, Family.","46 S Glebe Rd Unit 103, Arlington, VA 22204",Arlington,VA,22204,US,38.869414,-77.1000323,(703) 521-6004,,http://www.renascencecenter.com,,46 S Glebe Rd UNIT 103,MD/Psychiatrist,,VA,,"Child/Adolescent, Couples/Marriage, Family",,Unknown,,,,Unknown,,Unknown,,,,,,,", skills and experience; M.D.
Dr. Roohi Alikhan is a Board Certified Psychiatrist; M.D.
Dr Rahman is a Board Certified Psychiatrist",,5.0,1,2026-02-18,outscraper,enriched_basic
Vital Psych MD - Comprehensive Psychiatrist - Virginia,vital-psych-md-comprehensive-psychiatrist-virginia-richmond-va,publish,gd_place,Therapist,"Vital Psych MD - Comprehensive Psychiatrist - Virginia (MD/Psychiatrist) in Richmond, VA. Specializes in ADHD, Addiction, Anxiety, Autism Spectrum, Bipolar Disorder. Accepts Out-of-Network. Currently accepting new patients.","6841 Forest Hill Ave, Richmond, VA 23225",Richmond,VA,23225,US,37.5374091,-77.52102169999999,(305) 204-5372,,https://www.vitalpsychmd.com,,6841 Forest Hill Ave,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anxiety, Autism Spectrum, Bipolar Disorder, Depression, Eating Disorders, Grief, OCD, PTSD/Trauma, Personality Disorders, Sleep Issues, Stress Management",Out-of-Network,Unknown,,,,Unknown,,Yes,,,,,,,"is a cornerstone of our practice, and we empower our patients with the knowledge and tools needed to take control of their health and wellness; MS Service ](https://www.vitalpsychmd.com/services/tms-service); ms ](https://cloud.zentake.io/f/917f7198-d4c0-4024-8fb1-d2fea24db9ad)",,,0,2026-02-18,outscraper,enriched_full
Northern Virginia Mental Health: Alathari Husam K MD,northern-virginia-mental-health-alathari-husam-k-md-falls-church-va,publish,gd_place,Therapist,"Northern Virginia Mental Health: Alathari Husam K MD (MD/Psychiatrist) in Falls Church, VA. Specializes in ADHD, Addiction, Anger Management, Child/Adolescent, Depression.","3302 Gallows Rd, Falls Church, VA 22042",Falls Church,VA,22042,US,38.8581125,-77.2319776,(703) 207-7100,,https://www.inova.org/doctors/husam-k-alathari-md,,3302 Gallows Rd,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anger Management, Child/Adolescent, Depression",,Unknown,,,,Unknown,,Unknown,,"Arabic, English",,,,,specialty: internal medicine; ](https://www.inova.org/patients-visitors/patient-education); and cme](https://www.inova.org/education),,1.0,1,2026-02-18,outscraper,enriched_basic
Virginia Psychiatric Associates,virginia-psychiatric-associates-kilmarnock-va,publish,gd_place,Therapist,"Virginia Psychiatric Associates (MD/Psychiatrist) in Kilmarnock, VA.","14 Waverly Ave, Kilmarnock, VA 22482",Kilmarnock,VA,22482,US,37.7101144,-76.37953139999999,,,,,14 Waverly Ave,MD/Psychiatrist,,VA,,,,,,,,,,,,,,,,,,,,0,2026-02-18,outscraper,cleaned
Schiavone Jr Andrew A MD,schiavone-jr-andrew-a-md-annandale-va,publish,gd_place,Therapist,"Schiavone Jr Andrew A MD (MD/Psychiatrist) in Annandale, VA.","7369 Mcwhorter Pl, Annandale, VA 22003",Annandale,VA,22003,US,38.828611,-77.199805,(703) 914-6770,,,,7369 McWhorter Pl,MD/Psychiatrist,,VA,,,,,,,,,,,,,,,,,,,5.0,1,2026-02-18,outscraper,cleaned
"Shlakman Psychiatric Services, PLLC: Samantha Shlakman",shlakman-psychiatric-services-pllc-samantha-shlakman-vienna-va,publish,gd_place,Therapist,"Shlakman Psychiatric Services, PLLC: Samantha Shlakman (MD/Psychiatrist) in Vienna, VA.","501 Church St NE # 217, Vienna, VA 22180",Vienna,VA,22180,US,38.9092294,-77.2578006,(202) 421-7408,,,,501 Church St NE # 217,MD/Psychiatrist,,VA,,,,,,,,,,,,,,,,,,,5.0,1,2026-02-18,outscraper,cleaned
Concierge Psychiatry,concierge-psychiatry-woodcliff-lake-nj,publish,gd_place,Therapist,"Concierge Psychiatry (MD/Psychiatrist) in Woodcliff Lake, NJ. Specializes in Anger Management. Accepts Kaiser Permanente.","50 Tice Blvd Suite 340, Woodcliff Lake, Nj 07677",Woodcliff Lake,NJ,07677,US,41.0437749,-74.0744717,(551) 363-3150,,https://www.concierge-psychiatry.com,,50 Tice Blvd Suite 340,MD/Psychiatrist,,NJ,,Anger Management,Kaiser Permanente,Unknown,,,,Unknown,,Unknown,,,,,,,ms that prioritize productivity and profits over quality and connection. Understanding where you are co,,5.0,6,2026-02-18,outscraper,enriched_full
Kinfolk Family Health,kinfolk-family-health-montclair-nj,publish,gd_place,Therapist,"Kinfolk Family Health in Montclair, NJ.","292 Bloomfield Ave, Montclair, Nj 07042",Montclair,NJ,07042,US,40.8107592,-74.21396039999999,(973) 291-2959,,http://www.kinfolkfamilyhealth.com,,292 Bloomfield Ave,,,NJ,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,5.0,14,2026-02-18,outscraper,enriched_basic
"Dr. Virginia Summerville, MD",dr-virginia-summerville-md-bronx-ny,publish,gd_place,Therapist,"Dr. Virginia Summerville, MD (MD/Psychiatrist) in Bronx, NY.","999 Pelham Pkwy N, Bronx, Ny 10469",Bronx,NY,10469,US,40.8588238,-73.85943569999999,(718) 519-7000,,,,999 Pelham Pkwy N,MD/Psychiatrist,,NY,,,,,,,,,,,,,,,,,,,,0,2026-02-18,outscraper,cleaned
Cooper Betsy J MD,cooper-betsy-j-md-arlington-va,publish,gd_place,Therapist,"Cooper Betsy J MD (MD/Psychiatrist) in Arlington, VA.","927 S Walter Reed Dr #12, Arlington, VA 22204",Arlington,VA,22204,US,38.8629558,-77.0869316,(703) 685-0005,,,,927 S Walter Reed Dr #12,MD/Psychiatrist,,VA,,,,,,,,,,,,,,,,,,,4.2,5,2026-02-18,outscraper,cleaned
"Sherin Isaac, Psychiatric Nurse Practitioner",sherin-isaac-psychiatric-nurse-practitioner-glen-allen-va,publish,gd_place,Therapist,"Sherin Isaac, Psychiatric Nurse Practitioner (MD/Psychiatrist) in Glen Allen, VA. Specializes in ADHD, Anger Management, Anxiety, Autism Spectrum, Bipolar Disorder. Accepts Kaiser Permanente. Telehealth available. Currently accepting new patients.","10900 Nuckols Rd Suite 100, Glen Allen, VA 23060",Glen Allen,VA,23060,US,37.6665761,-77.5729571,(804) 215-3839,,https://lifestance.com/provider/nurse-practitioner/va/glen-allen/sherin-isaac/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dproviders,,10900 Nuckols Rd Suite 100,MD/Psychiatrist,,VA,,"ADHD, Anger Management, Anxiety, Autism Spectrum, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, OCD, PTSD/Trauma, Perinatal/Postpartum",Kaiser Permanente,Unknown,,,,Yes - Video,,Yes,,,"ACT, Motivational Interviewing, Solution-Focused",,,,"MS & More) ](https://lifestance.com/service-category/specialty-treatments/); MA 
  * Michigan; ma 
  * Oregon  ![Open](https://lifestance.com/wp-content/themes/lifestance-ws/dist/images/ico-plus_7357db",,3.0,2,2026-02-18,outscraper,enriched_full
Mindpath College Health Psychiatrists & Therapists - Irvine,mindpath-college-health-psychiatrists-therapists-irvine-irvine-ca,publish,gd_place,Therapist,"Mindpath College Health Psychiatrists & Therapists - Irvine (MD/Psychiatrist) in Irvine, CA.","4255 Campus Dr #A245, Irvine, Ca 92612",Irvine,CA,92612,US,33.6492446,-117.8391333,(949) 502-0736,,https://college.mindpath.com/locations/california/irvine/%3Fpk_source%3Dgmb%26pk_medium%3Dorganic,,4255 Campus Dr #A245,MD/Psychiatrist,,CA,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,4.2,32,2026-02-18,outscraper,enriched_basic
LifeStance Therapists & Psychiatrists McLean,lifestance-therapists-psychiatrists-mclean-mclean-va,publish,gd_place,Therapist,"LifeStance Therapists & Psychiatrists McLean (MD/Psychiatrist) in McLean, VA. Specializes in ADHD, Addiction, Anger Management, Anxiety, Autism Spectrum. Accepts Kaiser Permanente. Telehealth available. Currently accepting new patients.","1360 Beverly Rd #200, Mclean, VA 22101",McLean,VA,22101,US,38.9365371,-77.1786516,(703) 831-8300,,https://lifestance.com/location/mc-lean-va-1360-beverly-rd/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dlocations,,1360 Beverly Rd #200,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anger Management, Anxiety, Autism Spectrum, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, OCD, PTSD/Trauma, Perinatal/Postpartum",Kaiser Permanente,Unknown,,,,Yes - Video,,Yes,,,"ACT, Motivational Interviewing, Solution-Focused",,,,"MS & More) ](https://lifestance.com/service-category/specialty-treatments/); ma Oregon Pennsylvania Rhode Island South Carolina Tennessee Texas Utah Virginia Washington Wisconsin; MA 
  * Michigan",,4.2,100,2026-02-18,outscraper,enriched_full
Cervello-Wellness Psychiatric Care,cervello-wellness-psychiatric-care-alexandria-va,publish,gd_place,Therapist,"Cervello-Wellness Psychiatric Care (MD/Psychiatrist) in Alexandria, VA. Specializes in ADHD, Addiction, Anger Management, Anxiety, Bipolar Disorder. Telehealth available. Currently accepting new patients.","2800 Eisenhower Ave Suite 220 D-8, Alexandria, VA 22314",Alexandria,VA,22314,US,38.801713,-77.0816858,(301) 392-7120,,https://www.cervello-wellness.com/locations/alexandria-va,,2800 Eisenhower Ave suite 220 D-8,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anger Management, Anxiety, Bipolar Disorder, Child/Adolescent, Depression, Family, OCD, PTSD/Trauma, Personality Disorders, Stress Management",,Unknown,,,,Yes - Video,,Yes,,,,,,,"and evidence-based psychiatric care; al purposes. we are not responsible for the accuracy of external websites linked to this site. don't hesitate to contact us directly to schedule an appointment to discuss your health concerns, diagnos; ms therapists",,3.8,13,2026-02-18,outscraper,enriched_basic
LifeStance Therapists & Psychiatrists Williamsburg,lifestance-therapists-psychiatrists-williamsburg-williamsburg-va,publish,gd_place,Therapist,"LifeStance Therapists & Psychiatrists Williamsburg (MD/Psychiatrist) in Williamsburg, VA. Specializes in ADHD, Anger Management, Anxiety, Autism Spectrum, Bipolar Disorder. Accepts Aetna, Amerigroup, Anthem and 22 more. Telehealth available. Currently accepting new patients.","5360 Discovery Park Blvd Ste 201, Williamsburg, VA 23188",Williamsburg,VA,23188,US,37.281772,-76.7406251,(804) 374-8112,,https://lifestance.com,,5360 Discovery Park Blvd STE 201,MD/Psychiatrist,,VA,,"ADHD, Anger Management, Anxiety, Autism Spectrum, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, OCD, PTSD/Trauma, Perinatal/Postpartum, Personality Disorders, Stress Management","Aetna, Amerigroup, Anthem, Beacon Health, Behavioral Health Systems, BlueCross BlueShield, CareFirst, Cigna, Compsych, First Choice Health, Highmark, Horizon BCBS, Humana, Johns Hopkins EHP, Kaiser Permanente, Magellan, Medicaid, Medicare, Molina Healthcare, MultiPlan, Out-of-Network, PHCS, Sentara Health Plans, Tricare, UnitedHealthcare",Unknown,,,,Yes - Video,,Yes,,,"ACT, Motivational Interviewing, Solution-Focused",,,,"MS & More) ](https://lifestance.com/service-category/specialty-treatments/); BS
  * Anthem BCBS-Medicaid; BS
  * Anthem / Empire BCBS-Medicare",,4.6,95,2026-02-18,outscraper,enriched_full
"Physician Affiliate Group of New York, P.C. (PAGNY)",physician-affiliate-group-of-new-york-pc-pagny-new-york-ny,publish,gd_place,Therapist,"Physician Affiliate Group of New York, P.C. (PAGNY) in New York, NY. Specializes in Anger Management, Life Transitions, PTSD/Trauma. Accepts Kaiser Permanente.","420 Lexington Ave Suite 1750, New York, Ny 10170",New York,NY,10170,US,40.752781,-73.9759601,(646) 672-3651,,https://www.pagny.org,,420 Lexington Ave Suite 1750,,,NY,,"Anger Management, Life Transitions, PTSD/Trauma",Kaiser Permanente,Unknown,,,,Unknown,,Unknown,,,,,,,ma Surgeon](https://www.pagny.org/careers/trauma-surgeon); ms and Conditions](https://www.pagny.org/pages/site-terms),,2.8,4,2026-02-18,outscraper,enriched_full
Children's Hospital of Richmond at VCU Cameron K. Gallagher Mental Health Resource Center (CMHRC),childrens-hospital-of-richmond-at-vcu-cameron-k-gallagher-mental-health-resource-center-cmhrc-richmond-va,publish,gd_place,Therapist,"Children's Hospital of Richmond at VCU Cameron K. Gallagher Mental Health Resource Center (CMHRC) in Richmond, VA. Specializes in Anger Management, Anxiety, Child/Adolescent, Depression, Family. Accepts Out-of-Network.","1308 Sherwood Ave, Richmond, VA 23220",Richmond,VA,23220,US,37.5711064,-77.45075969999999,(804) 828-9897,,http://mentalhealth4kids.org,,1308 Sherwood Ave,,,VA,,"Anger Management, Anxiety, Child/Adolescent, Depression, Family, LGBTQ+, PTSD/Trauma",Out-of-Network,Unknown,,,,Unknown,,Unknown,,Spanish,Art Therapy,,,,"programs ](https://www.chrichmond.org/education-programs/); /child-and-adolescent-psychiatry-fellowship/); , resources and support",,3.7,3,2026-02-18,outscraper,enriched_full
Virginia Treatment Center for Children,virginia-treatment-center-for-children-richmond-va,publish,gd_place,Therapist,"Virginia Treatment Center for Children in Richmond, VA.","1308 Sherwood Ave, Richmond, VA 23220",Richmond,VA,23220,US,37.570443,-77.452647,,,,,1308 Sherwood Ave,,,VA,,,,,,,,,,,,,,,,,,,4.1,18,2026-02-18,outscraper,cleaned
Center For Integrative Psychiatry: Joseph Corbo MD,center-for-integrative-psychiatry-joseph-corbo-md-vienna-va,publish,gd_place,Therapist,"Center For Integrative Psychiatry: Joseph Corbo MD (MD/Psychiatrist) in Vienna, VA.","307 Maple Ave W Suite K, Vienna, VA 22180",Vienna,VA,22180,US,38.8986491,-77.2701318,(703) 255-3406,,,,307 Maple Ave W Suite K,MD/Psychiatrist,,VA,,,,,,,,,,,,,,,,,,,3.0,2,2026-02-18,outscraper,cleaned
"Coastal Medical And Psychiatric Services, Inc.",coastal-medical-and-psychiatric-services-inc-newport-news-va,publish,gd_place,Therapist,"Coastal Medical And Psychiatric Services, Inc. (MD/Psychiatrist) in Newport News, VA.","825 Diligence Dr Ste 100, Newport News, VA 23606",Newport News,VA,23606,US,37.0850868,-76.46277769999999,(757) 310-6900,,http://cmpsva.com,,825 Diligence Dr STE 100,MD/Psychiatrist,,VA,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,2.8,96,2026-02-18,outscraper,enriched_basic
"Savoie Psychiatry, Dr. Corliss Savoie",savoie-psychiatry-dr-corliss-savoie-falls-church-va,publish,gd_place,Therapist,"Savoie Psychiatry, Dr. Corliss Savoie (MD/Psychiatrist) in Falls Church, VA. Specializes in ADHD, Child/Adolescent. Accepts Johns Hopkins EHP.","7659 Leesburg Pike, Falls Church, VA 22043",Falls Church,VA,22043,US,38.9062162,-77.2099137,(571) 249-7502,,http://www.savoiepsychiatry.com,,7659 Leesburg Pike,MD/Psychiatrist,,VA,,"ADHD, Child/Adolescent",Johns Hopkins EHP,Unknown,,,,Unknown,,Unknown,,,,,,,", dr. savoie has worked at johns hopkins university, vanderbilt university medical center, and in private practice; , and credentialing](https://www.savoiepsychiatry.com/about); M.D. Adult ADHD Specialist Nashville TN ](https://static.wixstatic.com/media/0dc707_7c66db75dfbb4421b17f4",,,0,2026-02-18,outscraper,enriched_full
Summit Oaks Hospital,summit-oaks-hospital-summit-nj,publish,gd_place,Therapist,"Summit Oaks Hospital in Summit, NJ.","19 Prospect St, Summit, Nj 07902",Summit,NJ,07902,US,40.714157,-74.3626101,(908) 522-7000,,https://summitoakshospital.com,,19 Prospect St,,,NJ,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,2.5,433,2026-02-18,outscraper,enriched_basic
